Tanggal,Mata Uang,Event,Aktual
2018/01/02,USD,S&P Global Manufacturing PMI  (Dec),55.1
2018/01/03,USD,ISM Manufacturing PMI  (Dec),59.7
2018/01/03,USD,ISM Manufacturing Prices  (Dec),69.0
2018/01/04,USD,FOMC Meeting Minutes,
2018/01/04,USD,ADP Nonfarm Employment Change  (Dec),250K
2018/01/04,USD,Initial Jobless Claims,250K
2018/01/04,USD,S&P Global Services PMI  (Dec),53.7
2018/01/04,USD,Crude Oil Inventories,-7.419M
2018/01/05,EUR,CPI (YoY)  (Dec),1.4%
2018/01/05,USD,Average Hourly Earnings (MoM)  (Dec),0.3%
2018/01/05,USD,Nonfarm Payrolls  (Dec),148K
2018/01/05,USD,Unemployment Rate  (Dec),4.1%
2018/01/05,USD,ISM Non-Manufacturing PMI  (Dec),55.9
2018/01/05,USD,ISM Non-Manufacturing Prices  (Dec),60.8
2018/01/09,USD,JOLTS Job Openings  (Nov),5.879M
2018/01/10,USD,Crude Oil Inventories,-4.948M
2018/01/11,USD,Initial Jobless Claims,261K
2018/01/11,USD,PPI (MoM)  (Dec),-0.1%
2018/01/12,USD,Core CPI (MoM)  (Dec),0.3%
2018/01/12,USD,Core Retail Sales (MoM)  (Dec),0.4%
2018/01/12,USD,CPI (MoM)  (Dec),0.1%
2018/01/12,USD,CPI (YoY)  (Dec),2.1%
2018/01/12,USD,Retail Sales (MoM)  (Dec),0.4%
2018/01/16,GBP,CPI (YoY)  (Dec),3.0%
2018/01/17,EUR,CPI (YoY)  (Dec),1.4%
2018/01/18,CNY,GDP (YoY)  (Q4),6.8%
2018/01/18,USD,Initial Jobless Claims,220K
2018/01/18,USD,Philadelphia Fed Manufacturing Index  (Jan),22.2
2018/01/18,USD,Crude Oil Inventories,-6.861M
2018/01/23,JPY,BoJ Interest Rate Decision,-0.10%
2018/01/24,USD,S&P Global Manufacturing PMI  (Jan),55.5
2018/01/24,USD,S&P Global Services PMI  (Jan),53.3
2018/01/24,USD,Existing Home Sales  (Dec),5.57M
2018/01/24,USD,Crude Oil Inventories,-1.071M
2018/01/25,EUR,Deposit Facility Rate,-0.40%
2018/01/25,EUR,ECB Interest Rate Decision  (Jan),0.00%
2018/01/25,USD,Initial Jobless Claims,233K
2018/01/25,EUR,ECB Press Conference,
2018/01/25,USD,New Home Sales  (Dec),625K
2018/01/26,GBP,GDP (QoQ)  (Q4),0.5%
2018/01/26,GBP,GDP (YoY)  (Q4),1.5%
2018/01/26,USD,Durable Goods Orders (MoM)  (Dec),2.9%
2018/01/26,USD,GDP (QoQ)  (Q4),2.6%
2018/01/26,GBP,BoE Gov Carney Speaks,
2018/01/29,USD,Core PCE Price Index (MoM)  (Dec),0.2%
2018/01/29,USD,Core PCE Price Index (YoY)  (Dec),1.5%
2018/01/30,GBP,BoE Gov Carney Speaks,
2018/01/31,CNY,Manufacturing PMI  (Jan),51.3
2018/01/31,EUR,CPI (YoY)  (Jan),1.3%
2018/01/31,USD,ADP Nonfarm Employment Change  (Jan),234K
2018/01/31,USD,Chicago PMI  (Jan),65.7
2018/01/31,USD,Crude Oil Inventories,6.776M
2018/02/01,USD,FOMC Statement,
2018/02/01,USD,Fed Interest Rate Decision,1.50%
2018/02/01,USD,Initial Jobless Claims,230K
2018/02/01,USD,S&P Global Manufacturing PMI  (Jan),55.5
2018/02/01,USD,ISM Manufacturing PMI  (Jan),59.1
2018/02/01,USD,ISM Manufacturing Prices  (Jan),72.7
2018/02/02,USD,Average Hourly Earnings (MoM)  (Jan),0.3%
2018/02/02,USD,Nonfarm Payrolls  (Jan),200K
2018/02/02,USD,Unemployment Rate  (Jan),4.1%
2018/02/05,USD,S&P Global Services PMI  (Jan),53.3
2018/02/05,USD,ISM Non-Manufacturing PMI  (Jan),59.9
2018/02/05,USD,ISM Non-Manufacturing Prices  (Jan),61.9
2018/02/06,USD,JOLTS Job Openings  (Dec),5.811M
2018/02/07,USD,Crude Oil Inventories,1.895M
2018/02/08,GBP,BoE Inflation Report,
2018/02/08,GBP,BoE Interest Rate Decision  (Feb),0.50%
2018/02/08,GBP,BoE Gov Carney Speaks,
2018/02/08,USD,Initial Jobless Claims,221K
2018/02/13,GBP,CPI (YoY)  (Jan),3.0%
2018/02/14,JPY,GDP (QoQ)  (Q4),0.1%
2018/02/14,USD,Core CPI (MoM)  (Jan),0.3%
2018/02/14,USD,Core Retail Sales (MoM)  (Jan),0.0%
2018/02/14,USD,CPI (YoY)  (Jan),2.1%
2018/02/14,USD,CPI (MoM)  (Jan),0.5%
2018/02/14,USD,Retail Sales (MoM)  (Jan),-0.3%
2018/02/14,USD,Crude Oil Inventories,1.841M
2018/02/15,USD,Initial Jobless Claims,230K
2018/02/15,USD,Philadelphia Fed Manufacturing Index  (Feb),25.8
2018/02/15,USD,PPI (MoM)  (Jan),0.4%
2018/02/20,GBP,BoE Gov Carney Speaks,
2018/02/21,GBP,BoE Gov Carney Speaks,
2018/02/21,USD,S&P Global Manufacturing PMI  (Feb),55.9
2018/02/21,USD,S&P Global Services PMI  (Feb),55.9
2018/02/21,USD,Existing Home Sales  (Jan),5.38M
2018/02/22,USD,FOMC Meeting Minutes,
2018/02/22,GBP,GDP (YoY)  (Q4),1.4%
2018/02/22,GBP,GDP (QoQ)  (Q4),0.4%
2018/02/22,USD,Initial Jobless Claims,222K
2018/02/22,USD,Crude Oil Inventories,-1.616M
2018/02/23,EUR,CPI (YoY)  (Jan),1.3%
2018/02/23,USD,Fed Monetary Policy Report,
2018/02/26,USD,New Home Sales  (Jan),593K
2018/02/27,USD,Durable Goods Orders (MoM)  (Jan),-3.7%
2018/02/27,USD,Fed Chair Powell Testifies,
2018/02/28,CNY,Manufacturing PMI  (Feb),50.3
2018/02/28,EUR,CPI (YoY)  (Feb),1.2%
2018/02/28,USD,GDP (QoQ)  (Q4),2.5%
2018/02/28,USD,Chicago PMI  (Feb),61.9
2018/02/28,USD,Crude Oil Inventories,3.019M
2018/03/01,USD,Core PCE Price Index (YoY)  (Jan),1.5%
2018/03/01,USD,Core PCE Price Index (MoM)  (Jan),0.3%
2018/03/01,USD,Initial Jobless Claims,210K
2018/03/01,USD,S&P Global Manufacturing PMI  (Feb),55.3
2018/03/01,USD,Fed Chair Powell Testifies,
2018/03/01,USD,ISM Manufacturing PMI  (Feb),60.8
2018/03/01,USD,ISM Manufacturing Prices  (Feb),74.2
2018/03/02,GBP,BoE Gov Carney Speaks,
2018/03/02,GBP,BoE Gov Carney Speaks,
2018/03/05,USD,S&P Global Services PMI  (Feb),55.9
2018/03/05,USD,ISM Non-Manufacturing PMI  (Feb),59.5
2018/03/05,USD,ISM Non-Manufacturing Prices  (Feb),61.0
2018/03/07,USD,ADP Nonfarm Employment Change  (Feb),235K
2018/03/07,USD,Crude Oil Inventories,2.408M
2018/03/08,JPY,GDP (QoQ)  (Q4),0.4%
2018/03/08,GBP,Spring Forecast Statement,
2018/03/08,EUR,Deposit Facility Rate,-0.40%
2018/03/08,EUR,ECB Interest Rate Decision  (Mar),0.00%
2018/03/08,USD,Initial Jobless Claims,231K
2018/03/08,EUR,ECB Press Conference,
2018/03/09,JPY,BoJ Interest Rate Decision,-0.10%
2018/03/09,USD,Average Hourly Earnings (MoM)  (Feb),0.1%
2018/03/09,USD,Nonfarm Payrolls  (Feb),313K
2018/03/09,USD,Unemployment Rate  (Feb),4.1%
2018/03/13,USD,Core CPI (MoM)  (Feb),0.2%
2018/03/13,USD,CPI (YoY)  (Feb),2.2%
