Tanggal,Mata Uang,Event,Aktual
2018-01-03,EUR,German Unemployment Change  (Dec),-29K
2018-01-03,EUR,German Unemployment Rate  (Dec),5.5%
2018-01-03,USD,ISM Manufacturing PMI  (Dec),59.7
2018-01-04,USD,ADP Nonfarm Employment Change  (Dec),250K
2018-01-04,USD,Continuing Jobless Claims,"1,914K"
2018-01-04,USD,Initial Jobless Claims,250K
2018-01-05,USD,Nonfarm Payrolls  (Dec),148K
2018-01-05,USD,Private Nonfarm Payrolls  (Dec),146K
2018-01-05,USD,U6 Unemployment Rate  (Dec),8.1%
2018-01-05,USD,Unemployment Rate  (Dec),4.1%
2018-01-05,USD,ISM Non-Manufacturing PMI  (Dec),55.9
2018-01-10,CNY,CPI (YoY)  (Dec),1.8%
2018-01-10,CNY,CPI (MoM)  (Dec),0.3%
2018-01-10,GBP,NIESR GDP Estimate,0.6%
2018-01-11,USD,Continuing Jobless Claims,"1,867K"
2018-01-11,USD,Initial Jobless Claims,261K
2018-01-12,USD,Core CPI (YoY)  (Dec),1.8%
2018-01-12,USD,Core CPI (MoM)  (Dec),0.3%
2018-01-12,USD,CPI (YoY)  (Dec),2.1%
2018-01-12,USD,CPI (MoM)  (Dec),0.1%
2018-01-16,EUR,German CPI (YoY)  (Dec),1.7%
2018-01-16,EUR,German CPI (MoM)  (Dec),0.6%
2018-01-16,GBP,CPI (MoM)  (Dec),0.4%
2018-01-16,GBP,CPI (YoY)  (Dec),3.0%
2018-01-16,GBP,CPIH (YoY),2.7%
2018-01-18,CNY,GDP (QoQ)  (Q4),1.6%
2018-01-18,CNY,GDP (YoY)  (Q4),6.8%
2018-01-18,USD,Continuing Jobless Claims,"1,952K"
2018-01-18,USD,Initial Jobless Claims,220K
2018-01-23,JPY,BoJ Monetary Policy Statement,
2018-01-23,JPY,BoJ Interest Rate Decision,-0.10%
2018-01-24,GBP,Unemployment Rate  (Nov),4.3%
2018-01-25,USD,Continuing Jobless Claims,"1,937K"
2018-01-25,USD,Initial Jobless Claims,233K
2018-01-26,GBP,GDP (YoY)  (Q4),1.5%
2018-01-26,GBP,GDP (QoQ)  (Q4),0.5%
2018-01-26,JPY,National Core CPI (YoY)  (Dec),0.9%
2018-01-26,JPY,National CPI (MoM),0.2%
2018-01-26,JPY,Tokyo Core CPI (YoY)  (Jan),0.7%
2018-01-26,USD,Core PCE Prices,1.90%
2018-01-26,USD,GDP (QoQ)  (Q4),2.6%
2018-01-26,USD,GDP Price Index (QoQ)  (Q4),2.4%
2018-01-29,USD,Core PCE Price Index (MoM)  (Dec),0.2%
2018-01-29,USD,Core PCE Price Index (YoY)  (Dec),1.5%
2018-01-30,EUR,German CPI (MoM)  (Jan),-0.7%
2018-01-30,EUR,German CPI (YoY)  (Jan),1.6%
2018-01-30,JPY,BoJ Core CPI (YoY),0.7%
2018-01-31,CNY,Manufacturing PMI  (Jan),51.3
2018-01-31,CNY,Non-Manufacturing PMI  (Jan),55.3
2018-01-31,EUR,German Unemployment Change  (Jan),-25K
2018-01-31,EUR,German Unemployment Rate  (Jan),5.4%
2018-01-31,USD,ADP Nonfarm Employment Change  (Jan),234K
2018-01-31,USD,Chicago PMI  (Jan),65.7
2018-02-01,USD,FOMC Statement,
2018-02-01,USD,Fed Interest Rate Decision,1.50%
2018-02-01,USD,Continuing Jobless Claims,"1,953K"
2018-02-01,USD,Initial Jobless Claims,230K
2018-02-01,USD,ISM Manufacturing PMI  (Jan),59.1
2018-02-02,USD,Nonfarm Payrolls  (Jan),200K
2018-02-02,USD,Private Nonfarm Payrolls  (Jan),196K
2018-02-02,USD,U6 Unemployment Rate  (Jan),8.2%
2018-02-02,USD,Unemployment Rate  (Jan),4.1%
2018-02-05,USD,ISM Non-Manufacturing PMI  (Jan),59.9
2018-02-08,GBP,BoE Interest Rate Decision  (Feb),0.50%
2018-02-08,USD,Continuing Jobless Claims,"1,923K"
2018-02-08,USD,Initial Jobless Claims,221K
2018-02-09,CNY,CPI (YoY)  (Jan),1.5%
2018-02-09,CNY,CPI (MoM)  (Jan),0.6%
2018-02-09,GBP,NIESR GDP Estimate,0.5%
2018-02-13,GBP,CPI (YoY)  (Jan),3.0%
2018-02-13,GBP,CPI (MoM)  (Jan),-0.5%
2018-02-13,GBP,CPIH (YoY),2.7%
2018-02-14,EUR,German CPI (MoM)  (Jan),-0.7%
2018-02-14,EUR,German CPI (YoY)  (Jan),1.6%
2018-02-14,EUR,German GDP (QoQ)  (Q4),0.6%
2018-02-14,EUR,German GDP (YoY)  (Q4),2.3%
2018-02-14,JPY,GDP (YoY)  (Q4),0.5%
2018-02-14,JPY,GDP (QoQ)  (Q4),0.1%
2018-02-14,JPY,GDP Price Index (YoY),0.0%
2018-02-14,USD,Core CPI (YoY)  (Jan),1.8%
2018-02-14,USD,Core CPI (MoM)  (Jan),0.3%
2018-02-14,USD,CPI (YoY)  (Jan),2.1%
2018-02-14,USD,CPI (MoM)  (Jan),0.5%
2018-02-15,USD,Continuing Jobless Claims,"1,942K"
2018-02-15,USD,Initial Jobless Claims,230K
2018-02-21,GBP,Employment Change 3M/3M (MoM),88.0K
2018-02-21,GBP,Unemployment Rate  (Dec),4.4%
2018-02-22,GBP,GDP (YoY)  (Q4),1.4%
2018-02-22,GBP,GDP (QoQ)  (Q4),0.4%
2018-02-22,USD,Continuing Jobless Claims,"1,875K"
2018-02-22,USD,Initial Jobless Claims,222K
2018-02-23,EUR,German GDP (QoQ)  (Q4),0.6%
2018-02-23,EUR,German GDP (YoY)  (Q4),2.3%
2018-02-23,JPY,National Core CPI (YoY)  (Jan),0.9%
2018-02-23,JPY,National CPI (MoM),0.4%
2018-02-27,EUR,German CPI (MoM)  (Feb),0.5%
2018-02-27,EUR,German CPI (YoY)  (Feb),1.4%
2018-02-27,JPY,BoJ Core CPI (YoY),0.8%
2018-02-28,CNY,Manufacturing PMI  (Feb),50.3
2018-02-28,CNY,Non-Manufacturing PMI  (Feb),54.4
2018-02-28,EUR,German Unemployment Change  (Feb),-22K
2018-02-28,EUR,German Unemployment Rate  (Feb),5.4%
