Tanggal,Mata Uang,Event,Aktual
2018/01/01,GBP,Investing.com GBP/USD Index,43.4%
2018/01/01,USD,Investing.com Gold Index,69.0%
2018/01/01,JPY,Investing.com USD/JPY Index,63.6%
2018/01/03,EUR,German Unemployment Change  (Dec),-29K
2018/01/03,EUR,German Unemployment Rate  (Dec),5.5%
2018/01/03,USD,Construction Spending (MoM)  (Nov),0.8%
2018/01/03,USD,ISM Manufacturing Employment  (Dec),57.0
2018/01/03,USD,ISM Manufacturing PMI  (Dec),59.7
2018/01/03,USD,ISM Manufacturing Prices  (Dec),69.0
2018/01/04,USD,FOMC Meeting Minutes,
2018/01/04,USD,Fed's Balance Sheet,"4,443.72B"
2018/01/04,USD,API Weekly Crude Oil Stock,-4.992M
2018/01/04,GBP,Nationwide HPI (YoY)  (Dec),2.6%
2018/01/04,GBP,Nationwide HPI (MoM)  (Dec),0.6%
2018/01/04,USD,ADP Nonfarm Employment Change  (Dec),250K
2018/01/04,USD,Continuing Jobless Claims,"1,914K"
2018/01/04,USD,Initial Jobless Claims,250K
2018/01/04,USD,Crude Oil Inventories,-7.419M
2018/01/04,USD,Cushing Crude Oil Inventories,-2.441M
2018/01/05,USD,FOMC Member Bullard Speaks,
2018/01/05,EUR,German Retail Sales (MoM)  (Nov),2.3%
2018/01/05,USD,Average Hourly Earnings (MoM)  (Dec),0.3%
2018/01/05,USD,Exports,200.22B
2018/01/05,USD,Imports,250.72B
2018/01/05,USD,Nonfarm Payrolls  (Dec),148K
2018/01/05,USD,Participation Rate  (Dec),62.7%
2018/01/05,USD,Private Nonfarm Payrolls  (Dec),146K
2018/01/05,USD,Trade Balance  (Nov),-50.50B
2018/01/05,USD,U6 Unemployment Rate  (Dec),8.1%
2018/01/05,USD,Unemployment Rate  (Dec),4.1%
2018/01/05,USD,Factory Orders (MoM)  (Nov),1.3%
2018/01/05,USD,ISM Non-Manufacturing Employment  (Dec),56.3
2018/01/05,USD,ISM Non-Manufacturing PMI  (Dec),55.9
2018/01/05,USD,ISM Non-Manufacturing Prices  (Dec),60.8
2018/01/05,USD,FOMC Member Harker Speaks,
2018/01/06,USD,FOMC Member Mester Speaks,
2018/01/06,USD,U.S. Baker Hughes Oil Rig Count,742
2018/01/06,USD,U.S. Baker Hughes Total Rig Count,924.0
2018/01/06,GBP,BoE MPC Member Haldane Speaks,
2018/01/06,GBP,CFTC GBP speculative net positions,16.2K
2018/01/06,USD,CFTC Crude Oil speculative net positions,624.2K
2018/01/06,USD,CFTC Gold speculative net positions,163.3K
2018/01/06,USD,CFTC S&P 500 speculative net positions,172.6K
2018/01/06,JPY,CFTC JPY speculative net positions,-121.8K
2018/01/06,USD,FOMC Member Mester Speaks,
2018/01/07,USD,FOMC Member Williams Speaks,
2018/01/08,GBP,Investing.com GBP/USD Index,45.2%
2018/01/08,USD,Investing.com Gold Index,67.8%
2018/01/08,JPY,Investing.com USD/JPY Index,64.2%
2018/01/08,EUR,German Factory Orders (MoM)  (Nov),-0.4%
2018/01/08,GBP,Halifax House Price Index (MoM)  (Dec),-0.6%
2018/01/08,GBP,Halifax House Price Index (YoY)  (Dec),2.7%
2018/01/09,USD,FOMC Member Bostic Speaks,
2018/01/09,USD,FOMC Member Williams Speaks,
2018/01/09,USD,Consumer Credit  (Nov),27.95B
2018/01/09,USD,FOMC Member Rosengren Speaks,
2018/01/09,GBP,BRC Retail Sales Monitor (YoY)  (Dec),0.6%
2018/01/09,EUR,German Industrial Production (MoM)  (Nov),3.4%
2018/01/09,EUR,German Trade Balance  (Nov),22.3B
2018/01/09,USD,FOMC Member Kashkari Speaks,
2018/01/09,USD,JOLTS Job Openings  (Nov),5.879M
2018/01/10,USD,3-Year Note Auction,2.080%
2018/01/10,USD,API Weekly Crude Oil Stock,-11.190M
2018/01/10,CNY,CPI (YoY)  (Dec),1.8%
2018/01/10,CNY,CPI (MoM)  (Dec),0.3%
2018/01/10,CNY,PPI (YoY)  (Dec),4.9%
2018/01/10,JPY,10-Year JGB Auction,0.078%
2018/01/10,GBP,Industrial Production (MoM)  (Nov),0.4%
2018/01/10,GBP,Manufacturing Production (MoM)  (Nov),0.4%
2018/01/10,GBP,Trade Balance  (Nov),-12.23B
2018/01/10,GBP,Trade Balance Non-EU  (Nov),-4.67B
2018/01/10,EUR,German 10-Year Bund Auction,0.540%
2018/01/10,GBP,NIESR GDP Estimate,0.6%
2018/01/10,USD,Export Price Index (MoM)  (Dec),-0.1%
2018/01/10,USD,Import Price Index (MoM)  (Dec),0.1%
2018/01/10,USD,Crude Oil Inventories,-4.948M
2018/01/10,USD,Cushing Crude Oil Inventories,-2.395M
2018/01/11,USD,10-Year Note Auction,2.579%
2018/01/11,USD,FOMC Member Bullard Speaks,
2018/01/11,USD,Fed's Balance Sheet,"4,446.06B"
2018/01/11,GBP,BOE Credit Conditions Survey,
2018/01/11,USD,Continuing Jobless Claims,"1,867K"
2018/01/11,USD,Core PPI (MoM)  (Dec),-0.1%
2018/01/11,USD,Initial Jobless Claims,261K
2018/01/11,USD,PPI (MoM)  (Dec),-0.1%
2018/01/12,USD,30-Year Bond Auction,2.867%
2018/01/12,USD,Federal Budget Balance  (Dec),-23.0B
2018/01/12,USD,FOMC Member Dudley Speaks,
2018/01/12,JPY,Adjusted Current Account,1.70T
2018/01/12,JPY,Current Account n.s.a.  (Nov),1.347T
2018/01/12,CNY,Exports (YoY)  (Dec),10.9%
2018/01/12,CNY,Imports (YoY)  (Dec),4.5%
