Kanwil,HPP,Margin,JumlahKeping,JumlahGram
BALIKPAPAN BALIKPAPAN ARISAN,365308000,22238782,151,351
BALIKPAPAN BANJARMASIN ARISAN,315929000,20206238,174,299
BALIKPAPAN PONTIANAK ARISAN,419990000,37110806,154,404
BALIKPAPAN SAMARINDA ARISAN,618524000,51053428,152,581
BALIKPAPAN TARAKAN ARISAN,236854000,18502656,74,228
BALIKPAPAN BALIKPAPAN PEGAWAI,559051000,42166074,52,533.5
BALIKPAPAN BANJARMASIN PEGAWAI,60181000,2245482,19,58.06
BALIKPAPAN PONTIANAK PEGAWAI,324551000,19783350,71,317
BALIKPAPAN SAMARINDA PEGAWAI,188513000,16766934,42,177.5
BALIKPAPAN TARAKAN PEGAWAI,347091000,42078636,26,332
BALIKPAPAN BALIKPAPAN UMUM,15352172000,2023840974,2981,14858.06
BALIKPAPAN BANJARMASIN UMUM,16499077000,2118871893,3437,15938.5
BALIKPAPAN PONTIANAK UMUM,23967014000,2169139023,1620,23542.75
BALIKPAPAN SAMARINDA UMUM,12428623000,1413940428,1554,12151.5
BALIKPAPAN TARAKAN UMUM,9154808000,1049632362,1444,8903.5
BANDUNG BANDUNG 1 ARISAN,297617000,21604438,188,280
BANDUNG BANDUNG 2 ARISAN,907678000,69928382,355,864
BANDUNG CIREBON ARISAN,176556000,20387208,98,170
BANDUNG TASIKMALAYA ARISAN,340888000,21571272,197,321
BANDUNG BANDUNG 1 PEGAWAI,1659544000,115192164,247,1551.5
BANDUNG BANDUNG 2 PEGAWAI,1046133000,59773722,158,979
BANDUNG CIREBON PEGAWAI,1381543000,95055246,214,1287.5
BANDUNG TASIKMALAYA PEGAWAI,2893015000,222266214,270,2717
BANDUNG BANDUNG 1 UMUM,17307986945,2027166858,1572,16867
BANDUNG BANDUNG 2 UMUM,23656568475,2804661243,2978,23030.5
BANDUNG CIREBON UMUM,10836600000,1354324017,1822,10509
BANDUNG TASIKMALAYA UMUM,11691602000,1459473210,1448,11413.5
DENPASAR AMPENAN ARISAN,236217000,13023051,115,224
DENPASAR DENPASAR ARISAN,3102089000,245242654,1012,2976
DENPASAR DENPASAR 2 ARISAN,3159873000,227579811,900,3040
DENPASAR DOMPU ARISAN,115128000,9429288,90,108
DENPASAR ENDE ARISAN,26338000,1979391,24,24
DENPASAR KUPANG ARISAN,308982000,29388510,30,300
DENPASAR AMPENAN PEGAWAI,570850000,44060430,101,545
DENPASAR DENPASAR PEGAWAI,1592048000,97172520,233,1502.5
DENPASAR DENPASAR 2 PEGAWAI,911846000,53998752,116,862
DENPASAR DOMPU PEGAWAI,1206971000,81105450,176,1138
DENPASAR ENDE PEGAWAI,530311000,37154022,98,498
DENPASAR KUPANG PEGAWAI,37849000,2787426,4,37
DENPASAR AMPENAN UMUM,14561672000,1911078498,3435,14066.5
DENPASAR DENPASAR UMUM,42159863000,5635919061,4427,40940
DENPASAR DENPASAR 2 UMUM,32311762000,4611313596,3610,31535.5
DENPASAR DOMPU UMUM,4438803000,512149392,801,4293
DENPASAR ENDE UMUM,8982731000,1279557828,1644,8718
DENPASAR KUPANG UMUM,7539910000,1051679571,674,7345
JAKARTA 1 BEKASI ARISAN,1416271000,110386373,246,1354
JAKARTA 1 BOGOR ARISAN,2118136000,175384395,412,2053
JAKARTA 1 JATIWARINGIN ARISAN,821984000,62565745,227,793
JAKARTA 1 KRAMATJATI ARISAN,556913000,41909955,186,536
JAKARTA 1 SENEN ARISAN,2612316000,214965402,539,2522
JAKARTA 1 BEKASI PEGAWAI,462633000,33090030,26,445
JAKARTA 1 BOGOR PEGAWAI,798108000,43914456,131,760
JAKARTA 1 JATIWARINGIN PEGAWAI,275751000,15724128,37,263
JAKARTA 1 KRAMATJATI PEGAWAI,264193000,16315812,44,251
JAKARTA 1 SENEN PEGAWAI,903730000,52820094,73,861.5
JAKARTA 1 BEKASI UMUM,31903807000,3621173082,3149,31035.5
JAKARTA 1 BOGOR UMUM,29635601963,3499829784,2486,28013
JAKARTA 1 JATIWARINGIN UMUM,17589703000,1741608300,1404,17106.5
JAKARTA 1 KRAMATJATI UMUM,28808458000,3564804504,1952,28081
JAKARTA 1 SENEN UMUM,27875774149,3222143901,2542,26993.5
JAKARTA 2 CIRENDEU ARISAN,1948885000,159047060,507,1890
JAKARTA 2 KALIDERES ARISAN,710090000,52775863,284,681
JAKARTA 2 KEBAYORAN BARU ARISAN,1304704000,105084592,221,1257
JAKARTA 2 TANGERANG ARISAN,174827000,12912707,102,166
JAKARTA 2 TANJUNG PRIUK ARISAN,846128000,81432740,115,839
JAKARTA 2 CIRENDEU PEGAWAI,206272000,10708686,30,196.5
JAKARTA 2 KALIDERES PEGAWAI,131297000,6309960,23,121
JAKARTA 2 KEBAYORAN BARU PEGAWAI,368091000,16619070,26,352
JAKARTA 2 TANGERANG PEGAWAI,357326000,27187782,46,340
JAKARTA 2 TANJUNG PRIUK PEGAWAI,346033000,18229374,21,332
JAKARTA 2 CIRENDEU UMUM,23726269716,2508183936,1585,23097.5
JAKARTA 2 KALIDERES UMUM,25378991430,3150715287,1726,24808
JAKARTA 2 KEBAYORAN BARU UMUM,24680671115,2977945182,1678,24029
JAKARTA 2 TANGERANG UMUM,24410622000,2881511622,1805,23828.5
JAKARTA 2 TANJUNG PRIUK UMUM,16011436781,1816245084,1222,15599
MAKASAR AMBON ARISAN,23736000,1551830,14,22
MAKASAR BANTAENG ARISAN,279479000,26194142,171,259
MAKASAR KENDARI ARISAN,83308000,4940450,24,78
MAKASAR MAKASAR 1 ARISAN,466314000,31862496,222,434
MAKASAR MAKASAR 2 ARISAN,565694000,47903818,155,540
MAKASAR PALOPO ARISAN,199494000,12096642,102,184
MAKASAR PARE-PARE ARISAN,360449000,24004705,195,335
MAKASAR AMBON PEGAWAI,106057000,5568930,10,102
MAKASAR BANTAENG PEGAWAI,454011000,30111216,59,432
MAKASAR KENDARI PEGAWAI,260002000,25721130,27,252
MAKASAR MAKASAR 1 PEGAWAI,433209000,26804934,95,408.5
MAKASAR MAKASAR 2 PEGAWAI,244298000,16245594,45,230
MAKASAR PALOPO PEGAWAI,416693000,29594094,56,397
