Judul,Berita,Kategori
"Hasil Persib Vs PSM Makassar 0-0: Gagal Menang, Maung Bandung Tetap Jaga Rekor","Hasil Persib Vs PSM Makassar 0-0: Gagal Menang, Maung Bandung Tetap Jaga Rekor
Penulis

KOMPAS.com - Persib bermain imbang dengan PSM Makassar pada pekan ke-21 Liga 1. Meski gagal menang, Maung Bandung tetap menjaga rekor tak terkalahkan menjadi 14 laga beruntun.
Persib Bandung yang sedang dalam tren bagus menjamu sang juara musim lalu, PSM Makassar, pada pekan ke-21 Liga 1 2023-2024.
Duel Persib vs PSM Makassar tersebut digelar di Stadion Gelora Bandung Lautan Api pada Senin (4/12/2023) malam WIB.
Persib Bandung besutan Bojan Hodak menjamu PSM dengan catatan 13 laga beruntun tanpa kalah.
Kali terakhir Maung Bandung menelan kekalahan adalah ketika mereka tumbang 1-2 dari Persis Solo pada pekan ke-7.
Baca juga: Alasan Pelatih Persib Masih Yakin kepada Febri Hariyadi
Meladeni PSM Makassar, Persib coba memainkan penguasaan bola sejak awal. Tim tamu merespons dengan menerapkan pressing tinggi.
Peluang berbahaya pertama Persib diciptakan oleh Ciro Alves. Ciro melepaskan sepakan melengkung, tetapi kiper Reza Arya melakukan save krusial untuk menyelamatkan gawang PSM.
PSM membalas lewat aksi Adilson Silva dan Yance Sayuri. Beruntung bagi Persib, sundulan Adilson disusul tembakan kencang Yance masih digagalkan mistar dan tiang gawang.
Berjalan dengan intensitas tinggi, paruh pertama laga Persib vs PSM berakhir dengan skor sama kuat 0-0.
Memasuki babak kedua, Persib tetap menjaga agresivitas. Pergerakan Ciro Alves beberapa kali menciptakan situasi berbahaya di lini belakang Pasukan Ramang.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
Manchester City Pantau Bintang Argentina yang Bersinar di Piala Dunia U17 2023,"Manchester City Pantau Bintang Argentina yang Bersinar di Piala Dunia U17 2023
Penulis

KOMPAS.com - Manchester City dikabarkan sedang memantau bintang timnas U17 Argentina yang bersindar di Piala Dunia U17 2023, Claudio Echeverri.
Claudio Echeverri menjadi salah satu pemain muda yang tampil impresif pada Piala Dunia U17 2023.
Meski Argentina gagal melaju sampai ke final Piala Dunia U17 2023, Echeverri menunjukkan performa apik di barisan depan pasukan muda La Albiceleste.
Baca juga: Sensasi Echeverri di Piala Dunia U17 2023, Si Messi Berkaki Kanan
Pada turnamen yang digelar di Indonesia dari 10 November sampai 2 Desember 2023 tersebut, Echeverri yang kerap disebut sebagai titisan Lionel Messi sukses mengemas lima gol.
Dari lima gol tersebut, tiga di antaranya ia cetak ke gawang Brasil pada laga perempat final yang membawa Argentina menang 3-0.
Echeverri pun menghuni peringkat dua daftar top skor Piala Dunia U17 2023 bersama Ibrahim Diarra (Mali) dan Paris Brunner (Jerman).
Adapun gelar Sepatu Emas sebagai tanda pemain tersubur turnamen menjadi milik rekan setim Echeverri, Agustin Ruberto, yang mengoleksi delapan gol.
KOMPAS.com/Suci Rahayu Pemain timnas U17 Argentina, Claudio Echeverri, mencoba menggiring bola dalam laga semifinal Piala Dunia U17 2023 melawan timnas U17 Jerman. Laga Argentina vs Jerman tersebut digelar di Stadion Manahan, Solo, pada Selasa (28/11/2023) sore WIB.
Penampilan ciamik Claudio Echeverri pun menarik perhatian salah satu klub top Liga Inggris, Manchester City.
Dilansir dari Express, Man City dikabarkan sedang memantau Echeverri.
Kubu Man City disebut memantau turnamen Piala Dunia U17 2023 di Indonesia dengan radar mereka mengarah pada sosok Echeverri.
Baca juga: Piala Dunia U17 2023: Echeverri Titisan Messi, Juventus dan Brasil Korban















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
"Sepak Terjang Paris Brunner, Sang Pemain Terbaik Piala Dunia U17 2023","Sepak Terjang Paris Brunner, Sang Pemain Terbaik Piala Dunia U17 2023
Tim Redaksi

KOMPAS.com - Penyerang timnas U17 Jerman, Paris Brunner, dinobatkan sebagai pemain terbaik dan mendapatkan Golden Ball pada Piala Dunia U17 2023 Indonesia.
Hal itu tidak lepas dari kontribusinya selama membela tim dari babak penyisihan grup sampai final Piala Dunia U17 2023.
Ia menjadi pencetak gol terbanyak di timnas Jerman dengan lima gol dan satu assist dari total tujuh pertandingan yang sudah dijalani di Piala Dunia U17 2023.
Beberapa gol di antaranya merupakan gol kunci yang menentukan perjalanan Der Panzer.
Baca juga: Jerman Juara Piala Dunia U17: Lempar Sepatu, Terima Kasih Indonesia
KOMPAS.com/Suci Rahayu Pemain Timnas Jermar Paris Brunner ditempel ketat pemain Perancis saat laga final Piala Dunia U17 2023 Indonesia yang berakhir dengen skor 2-2 (4-3) di Stadion Manahan Solo, Jawa Tengah, Sabtu (2/12/2023) malam. 
Paris Brunner menjadi pahlawan pada babak perempat final saat melawan timnas Spanyol. Ia mencetak gol semata wayang tim yang mengakhiri perlawanan sengit timnas berjuluk Matador itu.
Selanjutnya, ia mencetak dua gol saat Jerman menahan imbang timnas Argentina 3-3 pada waktu normal babak semifinal.
Kemudian, ia juga menjadi penentu kemenangan dengan mencetak gol terakhir pada adu penalti dengan skor 4-3.
Baca juga: Tanggapan Pelatih Jerman soal Piala Dunia U17 Digelar Setiap Tahun
KOMPAS.com/SUCI RAHAYU Paris Brunner (depan) merayakan gol bersama rekan-rekannya dalam pertandingan Jerman vs Perancis pada final Piala Dunia U17 2023 di Stadion Manahan, Solo, Jawa Tengah, Sabtu (2/12/2023). 
Di partai final, ia mencetak gol pembuka Jerman pada menit ke-29 lewat titik penalti.
Namun, sayangnya, pada saat adu penalti tendangannya digagalkan penjaga gawang timnas Perancis, Paul Argney.
Namun, beruntungnya penjaga gawang Jerman Konstantin Heide berhasil menggagalkan dua tendangan dan satu tendangan Perancis sehingga tim tetap menang dengan skor 4-3.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
"Musim Gemilang Astra Honda Racing Team, Dominasi Kelas AP250 ARRC 2023","Musim Gemilang Astra Honda Racing Team, Dominasi Kelas AP250 ARRC 2023
Tim Redaksi

KOMPAS.com - Tim Astra Honda Racing menjalani musim gemilang setelah beberapa pebalapnya menjadi juara pada 2023. 
Dilansir dari laman resmi Astra Honda, skuad Astra Honda Racing Team (AHRT) tahun ini berkekuatan 10 pebalap. 
Dua di antaranya berhasil menjadi juara musim 2023, yakni Veda Ega Pratama dan Rheza Danica Ahrens.
Veda Ega Pertama mencetak sejarah sebagai pebalap Indonesia pertama yang menjuarai Asia Talent Cup (ATC).
Baca juga: Kerja Keras dan Harapan Pebalap Indonesia Rheza Danica Usai Juara ARRC 2023
Sementara itu, Rheza menjadi kampiun kelas Asia Production 250 (AP250) Asia Road Racing Championship (ARRC).
Adapun Indonesia mendominasi balapan kelas AP250. Rheza yang mengoleksi 206 poin, mengungguli dua rekan senegaranya, yaitu Herjun Atna Firdaus dan Veda Ega Pratama. 
Herjun mengumpulkan 198 poin di posisi kedua, sedangkan Veda finis di peringkat ketiga dengan raihan poin 160. 
Keberhasilan rider-rider itu juga mengantarkan Astra Honda Racing meraih gelar juara tim musim ini dengan total perolehan 404 poin. 
Baca juga: Astra Honda Motor dan Semangat Dorong Prestasi Pebalap Indonesia
Pebalap binaan Astra Honda Racing Team lainnya, yakni Fadillah Arbi Aditama, juga memenangi balapan FIM JuniorGP World Championship 2023 di Catalunya, Barcelona. 
Manajer Astra Honda Racing Team, Rizky Christanto, mengakui bahwa beberapa target timnya tercapai tahun ini. 















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
Pembelajaran dari Piala Dunia U17 2023 demi Sepak Bola Tanah Air,"Pembelajaran dari Piala Dunia U17 2023 demi Sepak Bola Tanah Air
Tim Redaksi

KOMPAS.com - Piala Dunia U17 2023 di Indonesia telah mencapai partai puncak dengan Jerman menjadi juara usai mengalahkan Perancis lewat adu penalti di Stadion Manahan, Surakarta, Sabtu (2/12/2023).
Kesuksesan Indonesia sebagai tuan rumah Piala Dunia U17 ke-19, tentu tidak lepas dari kolaborasi berbagai pihak yang turut menyukseskan penyelenggaraan acara ini.
Wakil Ketua Umum II PSSI, Ratu Tisha, berharap apa yang telah dipelajari di Piala Dunia ini bisa menjadi pembelajaran bagi penyelenggaraa-penyelenggaraan berikut ke depannya.
""Terima kasih kepada pemerintah Indonesia paling utama, di bawah arahan Ketum PSSI pak Erick Thohir dan para Exco, sinergi antar stakeholder terjalin dengan baik,"" kata Tisha dalam keterangan yang diterima Kompas.com, Minggu (3/12/2023).
""Local government yang luar biasa, pemerintah daerah, Kemen PUPR, Kemenpora, Kemenkeu, dan semua yang terlibat. Tidak lupa juga para stadion management, training site, transportasi, emergency services, kepolisian, dan ini semua yang tak bisa saya sebut satu-satu.""
A post shared by Sports Kompascom (@sports.kompascom)
""Ini kesuksesan kita bersama, ini merupakan awal mula dari perjalanan yang akan kita bangun untuk sepak bola Indonesia lebih baik.""
Baca juga: BERITA FOTO Final Piala Dunia U17 2023: Jerman Juara, Mental Baja Panser Muda
Mantan Direktur Kompetisi Indonesia Soccer Championship ini juga menyampaikan bahwa apa yang terjadi pada Piala Dunia di Indonesia bisa dijadikan contoh sebagai kompetisi lokal.
Turnamen ini dianggap mampu memberikan dasar dan perbaikan untuk menjalankan kompetisi lokal.
""Karena fundamental dari pembangunan sepak bola adalah infrastruktur, operation, dan bagaimana cara kita menjalankan kompetisi dengan sebaik-baiknya.""
""Semoga apa yang sudah kita pelajari dari Pildun U17 ini bisa pelan-pelan kita turunkan ke level yang lebih rendah.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
"Playoff Liga Esports Nasional Dimulai, 6 Tim Bersaing Menuju Grand Final","Playoff Liga Esports Nasional Dimulai, 6 Tim Bersaing Menuju Grand Final
Tim Redaksi

KOMPAS.com - Operator resmi dari Pengurus Besar Esports Indonesia (PBESI), Garudaku, memulai gelaran Playoff Liga Esports Nasional 2023 pada Jumat (1/12/2023) di Mahaka Square Britama Arena, Kelapa Gading, Jakarta Utara. 
Dari 12 tim pada babak Liga 1 Series di 4 kota yaitu Palembang, Pontianak, Surabaya, dan Makassar, tersisa enam tim yang akan diadu pada playoff dan dua tim terbaik bakal melaju ke Grand Final. 
Enam tim itu adalah Borneo FC Esport Samarinda, Onic Miracle Jakarta Selatan, Suber 24 Samarinda, Team Gryffin Badung, dan Pajajaran Esports Bogor.
Pertarungan yang seru pasti akan terjadi di antara tim-tim yang berusaha untuk menuju ke Upper Bracket Playoff Liga Esports Nasional.
Baca juga: Piala Presiden Esports Diharapkan Jadi Langkah Awal Harumkan Indonesia
Liga Esports Nasional adalah liga terbuka yang diselenggarakan sebagai bentuk komitmen dan keseriusan PBESI dan Garudaku untuk mencapai prestasi tertinggi di perhelatan esports Tanah Air, sekaligus konsistensi sistem pembinaan prestasi berkelanjutan.
“Liga Esports Nasional sebagai liga resmi dari PBESI yang terbuka untuk semua masyarakat di Indonesia, tersebar merata ke seluruh pelosok tanah air,"" kata COO Garudaku, Ricky Setiawan, dalam rilis yang diterima Kompas.com. 
""Tertata dengan baik demi menciptakan tatanan kompetisi yang optimal serta sebagai salah satu cara untuk akselerasi kualitas esports di Indonesia,"" lanjutnya.
""Tim esports yang mengikuti tidak hanya berkompetisi tapi juga mendapatkan edukasi untuk pengelolaan baik secara manajerial dan bisnis di dalam tim nya,"" ungkap Ricky Setiawan. 
Baca juga: Liga 1 Esports Nasional Siap Digelar, Modal untuk Berprestasi di Kancah Dunia
Antusiasme masyarakat selama gelaran Series Liga 1 Esports Nasional luar biasa, belasan ribu orang hadir di kota-kota penyelenggara.
Tidak hanya menikmati pertandingan seru, mereka yang hadir juga dihibur dengan penampilan lokal dan cosplay competition serta jajanan unik persembahan UMKM lokal setempat.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
"Piala Dunia U17 2023: Kebanggaan Mali, Masa Depan Cerah Menanti ","Piala Dunia U17 2023: Kebanggaan Mali, Masa Depan Cerah Menanti 
Tim Redaksi

KOMPAS.com - Meraih peringkat ketiga Piala Dunia U17 2023 menjadi kebanggaan timnas Mali. Masa depan cerah pun menanti skuad berjuluk Les Aigles itu. 
Mali mendapatkan medali perunggu Piala Dunia U17 2023 usai mengalahkan Argentina 3-0 di Stadion Manahan, Solo, Jawa Tengah, Jumat (1/12/2023). 
Gol-gol kemenangan Mali tercipta berkat aksi Ibrahim Diarra, Mamadou Doumbia, dan Hamidou Makalou. 
Meski bukan gelar juara, keberhasilan membawa pulang medali perunggu sudah menjadi suatu kebanggaan bagi skuad Les Aigles. 
Baca juga: Pesta Mali Usai Raih Peringkat 3 Piala Dunia U17 2023: Selebrasi Siuu  dan Salto di Manahan
""Saya bangga, kami sudah siap untuk memenangkannya, tetapi itu bukan rencana Tuhan,"" kata pelatih timnas U17 Mali, Soumaila Coulibaly, dikutip dari laman FIFA. 
""Kami kalah di semifinal, tetapi kami tidak kalah dalam pertarungan. Tim bermain dengan baik dan layak mendapatkan medali mereka. Saya sangat bangga dan sangat senang,"" ujar dia. 
Kapten Mali, Ibrahim Diarra, mengungkapkan bahwa ""mantra"" sang pelatih membuat timnya termotivasi untuk mengalahkan Argentina dan memenangkan perunggu. 
""Para pelatih mengatakan kepada kami bahwa turnamen kami belum berakhir dan masih ada satu pertandingan lagi. Kami mendengarkan mereka dan itu berhasil,"" ujar Diarra.
Baca juga: Mali Peringkat 3 Piala Dunia U17 2023: Sepak Bola Bahagia, Benamkan Argentina di Manahan
""Sekarang kami akan pulang dengan membawa medali. Ini adalah hadiah yang tulus bagi kami dan sangat menyenangkan,"" ucap pemain berusia 16 tahun tersebut. 
Masa depan cerah pun menanti para pemain Mali. Mereka menjadi salah satu tim yang lolos ke Olimpiade Paris 2024. 
Soumaila Coulibaly berharap pelatih timnas U23 Mali, Aliou Badra Diallo, akan membawa beberapa pemain U17. 
""Ya, saya yakin saya memiliki pemain yang akan berada di sana, karena mereka punya pengalaman bagus di Piala Dunia,"" kata Coulibaly.
""Masih ada delapan, sembilan bulan lagi, jadi mereka punya waktu untuk mempersiapkan diri,"" ungkapnya melanjutkan. 















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
"Newcastle Vs Man United: Ten Hag Percaya Onana, Dibela Pakai Statistik","Newcastle Vs Man United: Ten Hag Percaya Onana, Dibela Pakai Statistik
Tim Redaksi

KOMPAS.com – Pelatih Manchester United, Erik ten Hag, memberikan pembelaan terhadap sang kiper, Andre Onana.
Man United akan menghadapi Newcastle United dalam pekan ke-14 Premier League, kompetisi tertinggi Liga Inggris 2023-2024.
Laga Newcastle vs Man United dalam jadwal Liga Inggris berlangsung di Stadion St James' Park pada Minggu (3/12/2023) dini hari WIB.
Jelang duel kontra Newcastle, performa Andre Onana tengah menjadi sorotan penggemar Man United.
Keraguan terhadap kapasitas Andre Onana muncul karena kiper asal Kamerun tampil mengecewakan saat menghadapi Galatasaray di Liga Champions 2023-2024 pada Kamis (30/11/2023).
Baca juga: Prediksi Skor dan Susunan Pemain Newcastle Vs Man United di Liga Inggris
Saat itu, Andre Onana melakukan blunder seusai dua kali tak mampu menghalau bola hasil tendangan bebas Hakim Ziyech.
Performa buruk Andre Onana membuat Man United mesti menerima kenyataan ditahan imbang 3-3 dengan Galatasaray. Padahal, Setan Merah sempat unggul dua gol.
Hasil imbang melawan Galatasaray sekaligus membuat peluang Man United untuk menembus 16 besar Liga Champions semakin berat.
Meski demikian, Andre Onana ternyata mempunyai statistik gemilang di Premier League 2023-2024.
Menurut laporan BBC, Andre Onana menjadi kiper dengan clean sheet terbanyak di Premier League 2023-2024 dengan total lima kali.
Baca juga: Galatasaray Vs Man United: Ketika Onana Buang Sarung Tangan...















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
"Persib Bandung Vs PSM, Keuntungan Maung yang Bisa Jadi Bumerang","Persib Bandung Vs PSM, Keuntungan Maung yang Bisa Jadi Bumerang
Tim Redaksi

BANDUNG, KOMPAS.com - Persib Bandung dianggap punya keuntungan saat menjamu PSM Makassar dalam pertandingan pekan ke-21 Liga 1 2023-2024. 
Persib akan menghadapi PSM yang diprediksi mengalami kelelahan pasca menjalani laga AFC Cup melawan wakil Vietnam Hai Phong FC pada Kamis (30/11/2023) kemarin di Stadion Kapten I Wayan Dipta Gianyar Bali.
Jadwal Persib Bandung vs PSM Makassar akan digelar Senin (4/12/2023) di Stadion Gelora Bandung Lautan Api (GBLA), kick off pukul 19.00 WIB. 
Praktis PSM hanya punya waktu empat hari untuk melakukan recovery, persiapan, sekaligus perjalanan menuju ke Bandung. 
Baca juga: Persib Bandung Vs PSM, Hodak Ungkap Kans Debut Beltrame dan Mendoza
Marc Klok gelandang Persib memandang PSM Makassar selalu menjadi lawan yang sulit. Persib mengalami kekalahan dalam tiga pertemuan terakhir. 
Unggul waktu persiapan mungkin saja bisa menguntungkan Persib, namun jangan sampai jadi bumereang. Pada akhirnya kesiapan di hari pertandingan yang paling menentukan. 
“PSM selalu menjadi lawan yang sulit, mungkin saja menjadi keuntungan bagi kami karena mereka baru saja bermain,” sebut Klok.
“Kami punya keunggulan waktu lebih lama untuk melakukan persiapan. Tapi pada akhirnya, di hari pertandingan yang paling penting. Kedua tim akan berusaha untuk menampilkan yang terbaik di hari pertandingan,” nilainya. 
Baca juga: Persib di Laju Positif, Dua Rekrutan Asing Dituntut Cepat Nyetel
KOMPAS.com/Adil Nursalam Tekling Achmad Maulana bek Arema FC kepada David da Silva penyerang Persib dalam pertandingan pekan ke-19 Liga 1 2023-2024 antara Persib vs Arema FC di Stadion Gelora Bandung Lautan Api (GBLA), Rabu (8/11/2023). 
Sementara itu, David da Silva penyerang Persib secara tegas Persib tidak boleh menganggap waktu persiapan yang lebih panjan sebagai keuntungan. 
PSM diyakini sudah menjalani situasi-situasi tersebut dalam beberapa laga terakhirnya ke belakang. Tim asuhan Bernardo Tavares dianggap sudah terbiasa dengan kondisi tersebut.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
"Perancis Siap Lawan Jerman di Final Piala Dunia U17 2023: Lupakan Dendam, Fokus Bawa Pulang Trofi","Perancis Siap Lawan Jerman di Final Piala Dunia U17 2023: Lupakan Dendam, Fokus Bawa Pulang Trofi
Penulis

KOMPAS.com - Skuad Perancis tak melihat final Piala Dunia U17 2023 melawan Jerman sebagai ajang balas dendam. Mohamed-Amine Bouchenna dkk memilih fokus pada diri sendiri dalam mewujudkan ambisi membawa pulang trofi.
Dua tim Eropa, Jerman dan Perancis, akan bertemu pada partai final Piala Dunia U17 2023.
Laga Jerman vs Perancis tersebut bakal digelar di Stadion Manahan, Solo, pada Sabtu (2/12/2023) pukul 19.00 WIB.
Baca juga: Final Piala Dunia U17 2023 Jerman Vs Perancis: Dua Jagoan Eropa Berebut Trofi di Manahan
Partai puncak Piala Dunia U17 2023 akan menjadi ulangan final Piala Eropa U17 2023 di Hungaria, Juni lalu.
Kala itu, Perancis takluk dari Jerman melalui drama adu penalti.
Kini, Perancis punya kesempatan untuk membalas kekalahan dari Jerman tersebut.
Akan tetapi, Mohamed-Amine Bouchenna menegaskan bahwa duel kontras Jerman pada final Piala Dunia U17 2023 bukan hanya soal balas dendam.
Baca juga: Final Piala Dunia U17 2023: Pernah Dibuat Menangis Jerman, Perancis Siapkan Adu Penalti
Penyerang timnas U17 Perancis itu mengatakan bahwa ia dan rekan-rekan setimnya tidak memikirkan balas dendam.
Bouchenna dkk memilih fokus pada diri sendiri dalam mewujudkan ambisi membawa pulang trofi Piala Dunia U17 ke negara mereka.
""Tidak, ini (final Piala Dunia U17 2023) bukan soal balas dendam. Kami tidak memikirkan itu,"" kata Bouchenna dalam sesi jumpa pers di Stadion Manahan, Jumat (1/12/2023) siang WIB.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",bola
