Tanggal,Mata Uang,Event,Aktual
2018-01-05,EUR,CPI (YoY)  (Dec),1.4%
2018-01-05,USD,Nonfarm Payrolls  (Dec),148K
2018-01-05,USD,Unemployment Rate  (Dec),4.1%
2018-01-12,USD,CPI (YoY)  (Dec),2.1%
2018-01-16,GBP,CPI (YoY)  (Dec),3.0%
2018-01-17,EUR,CPI (YoY)  (Dec),1.4%
2018-01-18,CNY,GDP (YoY)  (Q4),6.8%
2018-01-23,JPY,BoJ Interest Rate Decision,-0.10%
2018-01-25,EUR,ECB Interest Rate Decision  (Jan),0.00%
2018-01-26,GBP,GDP (QoQ)  (Q4),0.5%
2018-01-26,GBP,GDP (YoY)  (Q4),1.5%
2018-01-26,USD,GDP (QoQ)  (Q4),2.6%
2018-01-31,EUR,CPI (YoY)  (Jan),1.3%
2018-02-01,USD,Fed Interest Rate Decision,1.50%
2018-02-02,USD,Nonfarm Payrolls  (Jan),200K
2018-02-02,USD,Unemployment Rate  (Jan),4.1%
2018-02-08,GBP,BoE Interest Rate Decision  (Feb),0.50%
2018-02-13,GBP,CPI (YoY)  (Jan),3.0%
2018-02-14,JPY,GDP (QoQ)  (Q4),0.1%
2018-02-14,USD,CPI (YoY)  (Jan),2.1%
2018-02-22,GBP,GDP (YoY)  (Q4),1.4%
2018-02-22,GBP,GDP (QoQ)  (Q4),0.4%
2018-02-23,EUR,CPI (YoY)  (Jan),1.3%
2018-02-28,EUR,CPI (YoY)  (Feb),1.2%
2018-02-28,USD,GDP (QoQ)  (Q4),2.5%
2018-03-08,EUR,ECB Interest Rate Decision  (Mar),0.00%
2018-03-08,JPY,GDP (QoQ)  (Q4),0.4%
2018-03-09,JPY,BoJ Interest Rate Decision,-0.10%
2018-03-09,USD,Nonfarm Payrolls  (Feb),313K
2018-03-09,USD,Unemployment Rate  (Feb),4.1%
2018-03-13,USD,CPI (YoY)  (Feb),2.2%
2018-03-16,EUR,CPI (YoY)  (Feb),1.1%
2018-03-20,GBP,CPI (YoY)  (Feb),2.7%
2018-03-22,GBP,BoE Interest Rate Decision  (Mar),0.50%
2018-03-22,USD,Fed Interest Rate Decision,1.75%
2018-03-28,USD,GDP (QoQ)  (Q4),2.9%
2018-03-29,GBP,GDP (YoY)  (Q4),1.4%
2018-03-29,GBP,GDP (QoQ)  (Q4),0.4%
2018-04-04,EUR,CPI (YoY)  (Mar),1.4%
2018-04-06,USD,Nonfarm Payrolls  (Mar),103K
2018-04-06,USD,Unemployment Rate  (Mar),4.1%
2018-04-11,USD,CPI (YoY)  (Mar),2.4%
2018-04-17,CNY,GDP (YoY)  (Q1),6.8%
2018-04-18,EUR,CPI (YoY)  (Mar),1.3%
2018-04-18,GBP,CPI (YoY)  (Mar),2.5%
2018-04-26,EUR,ECB Interest Rate Decision  (Apr),0.00%
2018-04-27,GBP,GDP (QoQ)  (Q1),0.1%
