units,epochs,learning_rate,batch_size,mse_test
100,100,0.001,10,0.01249607652425766
75,25,0.001,1,0.013132426887750626
100,25,0.001,10,0.01684088446199894
75,100,0.001,10,0.01715988852083683
50,50,0.001,100,0.018348250538110733
75,50,0.01,100,0.02140931412577629
100,50,0.001,10,0.02181578055024147
50,25,0.001,1,0.02200211025774479
50,50,0.001,1,0.022602608427405357
75,50,0.001,10,0.02510567381978035
75,50,0.001,1,0.025151489302515984
75,50,0.1,10,0.026403963565826416
50,25,0.01,100,0.02748287282884121
75,100,0.001,100,0.029853099957108498
50,25,0.001,10,0.029917161911725998
75,100,0.01,100,0.03048807568848133
100,50,0.001,1,0.030691897496581078
75,100,0.01,10,0.03111865185201168
100,50,0.01,10,0.03231542557477951
75,100,0.1,100,0.03380944952368736
100,25,0.01,100,0.03409458324313164
100,100,0.001,100,0.034917283803224564
50,25,0.001,100,0.03645337000489235
75,100,0.1,1,0.03649553284049034
100,100,0.01,100,0.03708784654736519
100,50,0.01,100,0.037151727825403214
75,25,0.001,100,0.03831545263528824
100,25,0.1,1,0.03850061818957329
75,100,0.001,1,0.03952142968773842
50,100,0.001,1,0.03990409895777702
75,25,0.001,10,0.04008123651146889
75,25,0.1,10,0.040094438940286636
100,100,0.01,10,0.04014984890818596
50,25,0.1,10,0.040362223982810974
100,50,0.001,100,0.04079360142350197
100,25,0.001,1,0.041204195469617844
50,25,0.01,10,0.041295647621154785
50,50,0.1,100,0.042463287711143494
50,50,0.001,10,0.04254774749279022
50,100,0.01,10,0.042857520282268524
75,25,0.01,10,0.043177831918001175
100,25,0.01,10,0.04359211400151253
50,100,0.01,100,0.04372129589319229
50,50,0.01,10,0.04515786096453667
50,100,0.1,100,0.04565950110554695
75,25,0.01,100,0.0466763935983181
100,25,0.001,100,0.0470234751701355
75,50,0.01,10,0.04757757484912872
100,25,0.1,10,0.04787159338593483
50,50,0.1,10,0.049527857452631
50,50,0.01,100,0.051094841212034225
75,50,0.1,100,0.05571730062365532
100,50,0.01,1,0.05588768795132637
100,100,0.001,1,0.05645975470542908
100,50,0.1,1,0.05684167146682739
100,25,0.01,1,0.05725057050585747
75,50,0.01,1,0.059217870235443115
50,100,0.001,10,0.05971691384911537
75,50,0.001,100,0.0633796975016594
50,100,0.01,1,0.06355225294828415
50,25,0.1,100,0.06462141126394272
75,100,0.1,10,0.06566604971885681
50,100,0.1,1,0.06668846309185028
100,100,0.1,1,0.06697186082601547
100,100,0.01,1,0.0671270415186882
75,25,0.1,1,0.06928601861000061
100,100,0.1,10,0.07170357555150986
50,100,0.001,100,0.07384210079908371
75,50,0.1,1,0.074448361992836
75,25,0.01,1,0.07508273422718048
50,100,0.1,10,0.07533338665962219
50,50,0.1,1,0.076448954641819
50,25,0.01,1,0.07859481126070023
100,50,0.1,10,0.07989110052585602
50,50,0.01,1,0.08141221106052399
75,100,0.01,1,0.08453229069709778
100,25,0.1,100,0.09206035733222961
50,25,0.1,1,0.12444454431533813
100,50,0.1,100,0.14699655771255493
75,25,0.1,100,0.17310777306556702
100,100,0.1,100,0.21633078157901764
