Kanwil;Area;Jenis;Vendor;UP;HPP;Margin;Jumlah Keping;Jumlah Gram
KANWIL BALIKPAPAN;AREA BALIKPAPAN;ARISAN;;311557300;365308000;22238782;151;351,0000
KANWIL BALIKPAPAN;AREA BANJARMASIN;ARISAN;;268539650;315929000;20206238;174;299,0000
KANWIL BALIKPAPAN;AREA PONTIANAK;ARISAN;;356991500;419990000;37110806;154;404,0000
KANWIL BALIKPAPAN;AREA SAMARINDA;ARISAN;;526064900;618524000;51053428;152;581,0000
KANWIL BALIKPAPAN;AREA TARAKAN;ARISAN;;201325900;236854000;18502656;74;228,0000
KANWIL BALIKPAPAN;AREA BALIKPAPAN;PEGAWAI;;515493700;559051000;42166074;52;533,5000
KANWIL BALIKPAPAN;AREA BANJARMASIN;PEGAWAI;;53503350;60181000;2245482;19;58,0600
KANWIL BALIKPAPAN;AREA PONTIANAK;PEGAWAI;;303403726;324551000;19783350;71;317,0000
KANWIL BALIKPAPAN;AREA SAMARINDA;PEGAWAI;;181376600;188513000;16766934;42;177,5000
KANWIL BALIKPAPAN;AREA TARAKAN;PEGAWAI;;328546650;347091000;42078636;26;332,0000
KANWIL BALIKPAPAN;AREA BALIKPAPAN;UMUM;;12674194058;15352172000;2023840974;2981;14858,0600
KANWIL BALIKPAPAN;AREA BANJARMASIN;UMUM;;13389536497;16499077000;2118871893;3437;15938,5000
KANWIL BALIKPAPAN;AREA PONTIANAK;UMUM;;19780550042;23967014000;2169139023;1620;23542,7500
KANWIL BALIKPAPAN;AREA SAMARINDA;UMUM;;10311953464;12428623000;1413940428;1554;12151,5000
KANWIL BALIKPAPAN;AREA TARAKAN;UMUM;;7641755870;9154808000;1049632362;1444;8903,5000
KANWIL BANDUNG;AREA BANDUNG 1;ARISAN;;255169250;297617000;21604438;188;280,0000
KANWIL BANDUNG;AREA BANDUNG 2;ARISAN;;772169500;907678000;69928382;355;864,0000
KANWIL BANDUNG;AREA CIREBON;ARISAN;;150072600;176556000;20387208;98;170,0000
KANWIL BANDUNG;AREA TASIKMALAYA;ARISAN;;289754800;340888000;21571272;197;321,0000
KANWIL BANDUNG;AREA BANDUNG 1;PEGAWAI;;1580214642;1659544000;115192164;247;1551,5000
KANWIL BANDUNG;AREA BANDUNG 2;PEGAWAI;;970842115;1046133000;59773722;158;979,0000
KANWIL BANDUNG;AREA CIREBON;PEGAWAI;;1338919233;1381543000;95055246;214;1287,5000
KANWIL BANDUNG;AREA TASIKMALAYA;PEGAWAI;;2671799436;2893015000;222266214;270;2717,0000
KANWIL BANDUNG;AREA BANDUNG 1;UMUM;;14382001807;17307986945;2027166858;1572;16867,0000
KANWIL BANDUNG;AREA BANDUNG 2;UMUM;;19791345621;23656568475;2804661243;2978;23030,5000
KANWIL BANDUNG;AREA CIREBON;UMUM;;9034695839;10836600000;1354324017;1822;10509,0000
KANWIL BANDUNG;AREA TASIKMALAYA;UMUM;;9746213309;11691602000;1459473210;1448;11413,5000
KANWIL DENPASAR;AREA AMPENAN;ARISAN;;200784450;236217000;13023051;115;224,0000
KANWIL DENPASAR;AREA DENPASAR;ARISAN;;2644135400;3102089000;245242654;1012;2976,0000
KANWIL DENPASAR;AREA DENPASAR 2;ARISAN;;2685892050;3159873000;227579811;900;3040,0000
KANWIL DENPASAR;AREA DOMPU;ARISAN;;98175300;115128000;9429288;90;108,0000
KANWIL DENPASAR;AREA ENDE;ARISAN;;22387300;26338000;1979391;24;24,0000
KANWIL DENPASAR;AREA KUPANG;ARISAN;;262634700;308982000;29388510;30;300,0000
KANWIL DENPASAR;AREA AMPENAN;PEGAWAI;;535794700;570850000;44060430;101;545,0000
KANWIL DENPASAR;AREA DENPASAR;PEGAWAI;;1406030870;1592048000;97172520;233;1502,5000
KANWIL DENPASAR;AREA DENPASAR 2;PEGAWAI;;819143733;911846000;53998752;116;862,0000
KANWIL DENPASAR;AREA DOMPU;PEGAWAI;;1104653914;1206971000;81105450;176;1138,0000
KANWIL DENPASAR;AREA ENDE;PEGAWAI;;462093710;530311000;37154022;98;498,0000
KANWIL DENPASAR;AREA KUPANG;PEGAWAI;;33314500;37849000;2787426;4;37,0000
KANWIL DENPASAR;AREA AMPENAN;UMUM;;12180949171;14561672000;1911078498;3435;14066,5000
KANWIL DENPASAR;AREA DENPASAR;UMUM;;35283206206;42159863000;5635919061;4427;40940,0000
KANWIL DENPASAR;AREA DENPASAR 2;UMUM;;27166070074;32311762000;4611313596;3610;31535,5000
KANWIL DENPASAR;AREA DOMPU;UMUM;;3681917341;4438803000;512149392;801;4293,0000
KANWIL DENPASAR;AREA ENDE;UMUM;;7603220127;8982731000;1279557828;1644;8718,0000
KANWIL DENPASAR;AREA KUPANG;UMUM;;6360698295;7539910000;1051679571;674;7345,0000
KANWIL JAKARTA 1;AREA BEKASI;ARISAN;;1208414950;1416271000;110386373;246;1354,0000
KANWIL JAKARTA 1;AREA BOGOR;ARISAN;;1800843200;2118136000;175384395;412;2053,0000
KANWIL JAKARTA 1;AREA JATIWARINGIN;ARISAN;;698686400;821984000;62565745;227;793,0000
KANWIL JAKARTA 1;AREA KRAMATJATI;ARISAN;;473549750;556913000;41909955;186;536,0000
KANWIL JAKARTA 1;AREA SENEN;ARISAN;;2220468600;2612316000;214965402;539;2522,0000
KANWIL JAKARTA 1;AREA BEKASI;PEGAWAI;;421716080;462633000;33090030;26;445,0000
KANWIL JAKARTA 1;AREA BOGOR;PEGAWAI;;748399456;798108000;43914456;131;760,0000
KANWIL JAKARTA 1;AREA JATIWARINGIN;PEGAWAI;;249417784;275751000;15724128;37;263,0000
KANWIL JAKARTA 1;AREA KRAMATJATI;PEGAWAI;;234881480;264193000;16315812;44;251,0000
KANWIL JAKARTA 1;AREA SENEN;PEGAWAI;;813118967;903730000;52820094;73;861,5000
KANWIL JAKARTA 1;AREA BEKASI;UMUM;;26753010878;31903807000;3621173082;3149;31035,5000
KANWIL JAKARTA 1;AREA BOGOR;UMUM;;24811207822;29635601963;3499829784;2486;28013,0000
