Kanwil,Area,Jenis,HPP,Margin,Jumlah Keping,Jumlah Gram
KANWIL_BALIKPAPAN,AREA_BALIKPAPAN,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_BALIKPAPAN,AREA_BANJARMASIN,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_BALIKPAPAN,AREA_PONTIANAK,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_BALIKPAPAN,AREA_SAMARINDA,UMUM,Tinggi,Rendah,Tinggi,Tinggi
KANWIL_BALIKPAPAN,AREA_TARAKAN,UMUM,Sedang,Rendah,Sedang,Sedang
KANWIL_BANDUNG,AREA_BANDUNG_1,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_BANDUNG,AREA_BANDUNG_2,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_BANDUNG,AREA_CIREBON,UMUM,Tinggi,Rendah,Tinggi,Tinggi
KANWIL_BANDUNG,AREA_TASIKMALAYA,UMUM,Tinggi,Rendah,Sedang,Tinggi
KANWIL_DENPASAR,AREA_AMPENAN,UMUM,Tinggi,Rendah,Tinggi,Tinggi
KANWIL_DENPASAR,AREA_DENPASAR,UMUM,Tinggi,Tinggi,Tinggi,Tinggi
KANWIL_DENPASAR,AREA_DENPASAR_2,UMUM,Tinggi,Tinggi,Tinggi,Tinggi
KANWIL_DENPASAR,AREA_DOMPU,UMUM,Rendah,Rendah,Sedang,Rendah
KANWIL_DENPASAR,AREA_ENDE,UMUM,Sedang,Rendah,Tinggi,Sedang
KANWIL_DENPASAR,AREA_KUPANG,UMUM,Sedang,Rendah,Rendah,Sedang
KANWIL_JAKARTA_1,AREA_BEKASI,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_1,AREA_BOGOR,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_1,AREA_JATIWARINGIN,UMUM,Tinggi,Rendah,Sedang,Tinggi
KANWIL_JAKARTA_1,AREA_KRAMATJATI,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_1,AREA_SENEN,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_2,AREA_CIRENDEU,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_2,AREA_KALIDERES,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_2,AREA_KEBAYORAN_BARU,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_2,AREA_TANGERANG,UMUM,Tinggi,Sedang,Tinggi,Tinggi
KANWIL_JAKARTA_2,AREA_TANJUNG_PRIUK,UMUM,Tinggi,Rendah,Sedang,Tinggi
KANWIL_MAKASAR,AREA_AMBON,UMUM,Rendah,Rendah,Sedang,Rendah
KANWIL_MAKASAR,AREA_BANTAENG,UMUM,Rendah,Rendah,Rendah,Rendah
KANWIL_MAKASAR,AREA_KENDARI,UMUM,Sedang,Rendah,Sedang,Sedang
