nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8
4180000187,L,Reguler,SMKS GLOBAL MULIA,Kab Bekasi,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,65,83.94,Tidak Lulus,Tidak Lulus,10.2,10.5,1,0,10.5,10.5,10.5,10.5
4180000621,P,Reguler,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,187,82.51,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
4180020885,P,Reguler,SMAN 1 MANONJAYA,Kab Tasikmalaya,Jawa Barat,AGRIBISNIS,Tidak Memilih,209,84.15,AGRIBISNIS,pil_1,10.7,10.5,1,0,10.5,10.5,10.5,10.5
4180001869,P,Reguler,SMKS KESEHATAN KH ILYAS RUHIYAT,Kab Tasikmalaya,Jawa Barat,PENDIDIKAN MATEMATIKA,Tidak Memilih,67,84.91,PENDIDIKAN MATEMATIKA,pil_1,10.7,10.6,1,0,10.6,10.6,10.6,10.6
4180002560,P,Reguler,SMKN 1 KARAWANG,Kab Karawang,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,139,80.86,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
4180002960,P,Bidik Misi,SMAN 1 CISAGA,Kab Ciamis,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,40,83.29,Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
4180003440,L,Reguler,MAN 2 KOTA BEKASI,Kota Bekasi,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,134,81.78,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
4180004446,P,Reguler,SMKS KESEHATAN KH ILYAS RUHIYAT,Kab Tasikmalaya,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,67,84.5,Tidak Lulus,Tidak Lulus,10.5,10.6,1,0,10.6,10.6,10.6,10.6
4180005007,P,Reguler,SMKS FARMASI BINTANG HARAPAN,Kab Bekasi,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,35,84.73,Tidak Lulus,Tidak Lulus,10.4,10.6,1,0,10.6,10.6,10.6,10.6
4180005364,P,Reguler,SMK DUTA PRATAMA INDONESIA,Kab Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,35,84.85,Tidak Lulus,Tidak Lulus,10.4,10.6,1,0,10.6,10.6,10.6,10.6
4180005655,P,Reguler,MAN CIBINONG,Kab Bogor,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,157,80.7,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
4180092113,L,Reguler,SMAN 3 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,AGRIBISNIS,Tidak Memilih,259,83.26,AGRIBISNIS,pil_1,10.6,10.4,1,0,10.4,10.4,10.4,10.4
4180009368,P,Reguler,SMKN 15 JAKARTA,Kota Jakarta Selatan,DKI Jakarta,TEKNIK SIPIL ,Tidak Memilih,93,81.68,Tidak Lulus,Tidak Lulus,11.2,10.2,1,0,10.2,10.2,10.2,10.2
4180010240,P,Reguler,SMK PENERBANGAN HASANUDDIN MAKASSAR,Kota Makassar,Sulawesi Selatan,PENDIDIKAN BAHASA INGGRIS ,Tidak Memilih,7,88.07,Tidak Lulus,Tidak Lulus,9.7,11,1,0,11,11,11,11
4180011604,L,Reguler,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,149,81.56,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
4180012638,L,Bidik Misi,MAN CIPASUNG,Kab Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,160,83.08,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
4180310275,L,Bidik Misi,SMAN 5 GARUT,Kab Garut,Jawa Barat,AGRIBISNIS,Tidak Memilih,240,88.31,AGRIBISNIS,pil_1,11.1,11,1,0,11,11,11,11
