JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus Pilihan,X1,X2,X3,X5,X6,X7,X8,X9,XT
0,0,677,9,6,25,10,37,82.75,0,10.3,10.3,1.0,10.3,10.3,10.3,10.3,7.5,70.5
1,0,52,15,6,8,20,50,81.03,2,10.1,10.1,1.0,10.1,10.1,10.1,10.1,10.0,71.7
1,0,455,93,6,17,20,182,81.28,1,10.4,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.4
0,0,443,70,6,9,1,152,81.25,0,10.2,10.2,1.0,10.2,10.2,10.2,10.2,7.5,68.5
0,0,472,93,6,9,10,187,80.58,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,11.3,72.8
1,0,747,9,6,27,28,65,83.94,0,10.2,10.5,1.0,10.5,10.5,10.5,10.5,7.5,71.1
0,0,48,15,6,10,8,54,87.11,1,11.0,10.9,1.0,10.9,10.9,10.9,10.9,10.0,76.5
0,0,472,93,6,4,10,187,81.82,0,10.3,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.7
0,1,652,19,6,5,15,193,89.23,0,10.3,11.2,1.0,11.2,11.2,11.2,11.2,9.4,76.5
0,1,204,61,6,6,4,76,84.39,0,10.6,10.5,1.0,10.5,10.5,10.5,10.5,10.6,75.0
0,1,480,93,6,15,17,132,84.23,0,10.6,10.5,1.0,10.5,10.5,10.5,10.5,11.3,75.5
0,1,204,61,6,6,10,76,84.2,0,10.5,10.5,1.0,10.5,10.5,10.5,10.5,10.6,74.8
1,0,735,9,6,25,27,59,80.22,0,10.5,10.0,1.0,10.0,10.0,10.0,10.0,7.5,69.2
0,0,95,93,6,4,10,12,82.16,0,10.2,10.3,1.0,10.3,10.3,10.3,10.3,11.3,73.8
0,1,472,93,6,5,10,183,80.34,0,10.1,10.0,1.0,10.0,10.0,10.0,10.0,11.3,72.6
0,0,600,11,6,1,9,184,86.43,0,10.9,10.8,1.0,10.8,10.8,10.8,10.8,7.5,72.4
0,1,480,93,6,27,1,149,82.96,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,11.3,73.6
0,1,480,93,6,15,17,132,84.15,0,10.6,10.5,1.0,10.5,10.5,10.5,10.5,11.3,75.5
0,1,480,93,6,3,1,149,84.12,0,10.7,10.5,1.0,10.5,10.5,10.5,10.5,11.3,75.5
0,0,472,93,6,10,9,187,82.5,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.2
0,0,472,93,6,25,28,187,82.51,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.3
0,1,204,61,6,1,3,69,85.28,0,10.8,10.7,1.1,10.7,10.7,10.7,10.7,10.6,75.8
0,0,471,19,6,0,2,168,85.45,1,10.8,10.7,1.0,10.7,10.7,10.7,10.7,9.4,74.6
0,0,204,61,6,9,11,69,82.56,0,10.5,10.3,1.0,10.3,10.3,10.3,10.3,10.6,73.7
0,1,472,93,6,21,10,187,81.95,0,10.4,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.8
0,0,289,58,6,22,11,135,83.27,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,7.5,71.0
1,0,345,19,6,27,21,83,84.07,0,10.6,10.5,1.0,10.5,10.5,10.5,10.5,9.4,73.6
1,0,48,15,6,10,8,54,86.51,1,11.0,10.8,1.0,10.8,10.8,10.8,10.8,10.0,76.0
0,0,480,93,6,4,5,132,81.87,0,10.4,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.8
0,0,480,93,6,17,22,132,81.93,1,10.4,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.8
0,1,394,93,6,21,16,277,88.78,1,11.3,11.1,1.0,11.1,11.1,11.1,11.1,11.3,79.0
0,0,480,93,6,17,11,132,81.08,1,10.3,10.1,1.0,10.1,10.1,10.1,10.1,11.3,73.2
1,0,646,16,6,25,24,102,81.58,0,10.3,10.2,1.0,10.2,10.2,10.2,10.2,7.5,69.7
0,0,472,93,6,15,14,187,81.1,0,10.3,10.1,1.0,10.1,10.1,10.1,10.1,11.3,73.2
